Title:,"Time Series, Area-Averaged of Air temperature at surface (Daytime/Ascending, (monthly)"
User Start Date:,2020-12-01T00:00:00Z
User End Date:,2023-11-30T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2020-12-01T00:00:00Z&endtime=2023-11-30T23:59:59Z&shape=state_dept_countries_2017/shp_246&&data=AIRS3STM_006_SurfAirTemp_A(units%3DC)&dataKeyword=Temperature&portal=GIOVANNI&format=json"
Fill Value (mean_AIRS3STM_006_SurfAirTemp_A):, -9999

time, mean_AIRS3STM_006_SurfAirTemp_A
2020-12-01 00:00:00,25.5729313
2021-01-01 00:00:00,25.058588
2021-02-01 00:00:00,25.6314335
2021-03-01 00:00:00,26.6536503
2021-04-01 00:00:00,26.03866
2021-05-01 00:00:00,23.962183
2021-06-01 00:00:00,22.4799442
2021-07-01 00:00:00,21.6984196
2021-08-01 00:00:00,25.6954899
2021-09-01 00:00:00,28.0193729
2021-10-01 00:00:00,29.007288
2021-11-01 00:00:00,30.3230839
2021-12-01 00:00:00,28.4237309
2022-01-01 00:00:00,25.0204411
2022-02-01 00:00:00,26.6800785
2022-03-01 00:00:00,26.0647526
2022-04-01 00:00:00,24.7918644
2022-05-01 00:00:00,24.4940739
2022-06-01 00:00:00,21.5630741
2022-07-01 00:00:00,22.1183414
2022-08-01 00:00:00,25.2832279
2022-09-01 00:00:00,27.6528263
2022-10-01 00:00:00,30.2707767
2022-11-01 00:00:00,27.0192204
2022-12-01 00:00:00,27.0742741
2023-01-01 00:00:00,25.2817631
2023-02-01 00:00:00,25.432703
2023-03-01 00:00:00,26.8532047
2023-04-01 00:00:00,27.3990116
2023-05-01 00:00:00,26.3397465
2023-06-01 00:00:00,24.636713
2023-07-01 00:00:00,22.1588993
2023-08-01 00:00:00,23.8958378
2023-09-01 00:00:00,28.5487919
2023-10-01 00:00:00,29.1772709
2023-11-01 00:00:00,29.0448856
