Title:,"Time Series, Area-Averaged of Multisatellite precipitation monthly 0.5 deg. [AIRS, SSMI (monthly)"
User Start Date:,2020-12-01T00:00:00Z
User End Date:,2023-11-30T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2020-12-01T00:00:00Z&endtime=2023-11-30T23:59:59Z&shape=state_dept_countries_2017/shp_246&&data=GPCPMON_3_2_satellite_precip&dataKeyword=precipitation&portal=GIOVANNI&format=json"
Fill Value (mean_GPCPMON_3_2_satellite_precip):, -99999

time, mean_GPCPMON_3_2_satellite_precip
2020-12-01 00:00:00,6.9311552
2021-01-01 00:00:00,7.16602421
2021-02-01 00:00:00,5.17020845
2021-03-01 00:00:00,0.601570129
2021-04-01 00:00:00,0.396422327
2021-05-01 00:00:00,0.318375438
2021-06-01 00:00:00,0.229525194
2021-07-01 00:00:00,0.177065417
2021-08-01 00:00:00,0.104797482
2021-09-01 00:00:00,0.255248398
2021-10-01 00:00:00,1.32305646
2021-11-01 00:00:00,3.9777832
2021-12-01 00:00:00,4.34684849
2022-01-01 00:00:00,5.26097918
2022-02-01 00:00:00,1.04561961
2022-03-01 00:00:00,3.03049612
2022-04-01 00:00:00,1.57428598
2022-05-01 00:00:00,0.166505471
2022-06-01 00:00:00,0.109872922
2022-07-01 00:00:00,0.3093822
2022-08-01 00:00:00,0.0632390454
2022-09-01 00:00:00,0.373752266
2022-10-01 00:00:00,1.24459183
2022-11-01 00:00:00,4.40154505
2022-12-01 00:00:00,3.32915688
2023-01-01 00:00:00,4.08536148
2023-02-01 00:00:00,5.71649504
2023-03-01 00:00:00,0.558693945
2023-04-01 00:00:00,0.281941861
2023-05-01 00:00:00,0.0887204707
2023-06-01 00:00:00,0.0669196025
2023-07-01 00:00:00,0.134839132
